id,long,lat,Mode,fid,h3,Commune,CodeCom
node/10078284181,-6.8022894100,34.0362065100,bus,21762,8839a864b3fffff,Tabriquet,9
node/10078284182,-6.7988749100,34.0390096100,bus,6062,8839ab916dfffff,Bettana,5
node/10078284183,-6.7989667100,34.0391264100,bus,6062,8839ab916dfffff,Tabriquet,9
node/10078284184,-6.7923170100,34.0462422100,bus,6064,8839ab9169fffff,Bettana,5
node/10078284185,-6.7928158100,34.0465652100,bus,6064,8839ab9169fffff,Tabriquet,9
node/10078284186,-6.7836110100,34.0511338100,bus,6063,8839ab916bfffff,Tabriquet,9
node/10078284187,-6.7836909100,34.0512085100,bus,6063,8839ab916bfffff,Tabriquet,9
node/10078284188,-6.7830916100,34.0538787100,bus,6080,8839ab9145fffff,Tabriquet,9
node/10078284189,-6.7833187100,34.0533533100,bus,6080,8839ab9145fffff,Tabriquet,9
node/10078284190,-6.7830577100,34.0562871100,bus,6080,8839ab9145fffff,Tabriquet,9
node/10078284191,-6.7828755100,34.0567374100,bus,6080,8839ab9145fffff,Tabriquet,9
node/10078284192,-6.7825733100,34.0586422100,bus,6080,8839ab9145fffff,Tabriquet,9
node/10078284193,-6.7826673100,34.0589827100,bus,6082,8839ab9141fffff,Tabriquet,9
node/10078284194,-6.7817848100,34.0620133100,bus,6082,8839ab9141fffff,Tabriquet,9
node/10078284195,-6.7808712100,34.0643078100,bus,6082,8839ab9141fffff,Tabriquet,9
node/10078618977,-6.8402768100,34.0203288100,bus,21766,8839a864a7fffff,Agdal Riyad,1
node/10078618978,-6.8401023100,34.0203554100,bus,21766,8839a864a7fffff,Agdal Riyad,1
node/10078618979,-6.8386475100,34.0153424100,bus,21746,8839a8659bfffff,Agdal Riyad,1
node/10078618980,-6.8396486100,34.0091932100,bus,21750,8839a86593fffff,Agdal Riyad,1
node/10078618982,-6.8513554100,33.9921868100,bus,21732,8839a865bbfffff,Agdal Riyad,1
node/10078618983,-6.8548723100,33.9888024100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/10078618984,-6.8550677100,33.9887124100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/10078618985,-6.8588238100,33.9881082100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/10078618986,-6.8591210100,33.9881967100,bus,21737,8839a865b1fffff,Agdal Riyad,1
node/10078618987,-6.8622840100,33.9844943100,bus,21731,8839a865bdfffff,Agdal Riyad,1
node/10078618988,-6.8622411100,33.9849117100,bus,21731,8839a865bdfffff,Agdal Riyad,1
node/10078618989,-6.8684676100,33.9769395100,bus,21743,8839a865a3fffff,Agdal Riyad,1
node/10078618990,-6.8676216100,33.9780487100,bus,21743,8839a865a3fffff,Agdal Riyad,1
