fid,h3,population,surface_to,Province,Commune,CodeProv,CodeCom,pop_24,surf_comm,id,surface_in,pop_corr,Arrêts,classifica,long,lat
21778,8839a86483fffff,12266,793675.13,Salé,Bab Lamrissa,441,3,167319,639753.244,node/21141275,639753.244,9887,6,Modérément desservi,-6.82226233,34.05060017
21415,8839a86eadfffff,4902,794553.565,Skhirate- Témara,Harhoura,501,3,20950,33340.67682,node/21141275,26385.77165,163,0,Non desservi,-6.93833794,33.93205333
21415,8839a86eadfffff,4902,794553.565,Skhirate- Témara,Témara,501,7,297098,761212.8745,node/21141275,563086.5962,3474,3,Modérément desservi,-6.93206905,33.93026563
21421,8839a86ea1fffff,9488,794455.186,Skhirate- Témara,Témara,501,7,297098,794455.1864,node/21141275,640783.3721,7653,2,Modérément desservi,-6.92542704,33.92867796
6067,8839ab9163fffff,14650,793227.52,Salé,Bettana,441,5,76233,668306.9066,node/21141275,310745.7478,5739,0,Non desservi,-6.78153293,34.04080589
6067,8839ab9163fffff,14650,793227.52,Salé,Layayda,441,7,229838,124920.6155,node/21141275,5794.284245,107,0,Non desservi,-6.77423276,34.04266832
21756,8839a86581fffff,7491,794096.691,Rabat,Yacoub El Mansour,421,9,168391,495592.3476,node/21141275,495592.3476,4675,2,Modérément desservi,-6.87376362,34.00086607
6093,8839ab9127fffff,36639,793069.773,Salé,Hssaine,441,6,234326,793069.7732,node/21141275,789354.1494,36467,6,Modérément desservi,-6.76549564,34.01608128
6094,8839ab9125fffff,21004,793168.677,Salé,Bettana,441,5,76233,83097.49602,node/21141275,958.1789583,25,0,Non desservi,-6.77730942,34.02082967
6094,8839ab9125fffff,21004,793168.677,Salé,Hssaine,441,6,234326,710071.1617,node/21141275,345586.6705,9152,2,Modérément desservi,-6.77317444,34.01808841
6096,8839ab9121fffff,26218,793122.405,Salé,Hssaine,441,6,234326,793122.4054,node/21141275,793122.4054,26218,10,Bien desservi,-6.76969714,34.02398434
5978,8839ab9327fffff,18350,793437.15,Salé,Bab Lamrissa,441,3,167319,785844.4321,node/21141275,785844.4321,18174,12,Bien desservi,-6.79488708,34.07174662
5980,8839ab9323fffff,17373,793390.631,Salé,Bab Lamrissa,441,3,167319,477272.5654,node/21141275,477272.5654,10451,2,Modérément desservi,-6.78992594,34.07805376
5980,8839ab9323fffff,17373,793390.631,Salé,Layayda,441,7,229838,248754.741,node/21141275,248754.741,5447,4,Modérément desservi,-6.78597294,34.08035784
5981,8839ab9321fffff,42,793489.433,Salé,Bab Lamrissa,441,3,167319,20465.07156,node/21141275,20465.07156,1,0,Non desservi,-6.79472113,34.07735183
21405,8839a86ed7fffff,4474,794325.771,Rabat,Yacoub El Mansour,421,9,168391,794325.7706,node/21141275,794325.7706,4474,6,Modérément desservi,-6.90436524,33.96573168
21406,8839a86ed3fffff,12753,794280.057,Rabat,Yacoub El Mansour,421,9,168391,794280.0574,node/21141275,794280.0574,12753,13,Bien desservi,-6.89842587,33.97290903
21407,8839a86ed1fffff,6,794378.512,Rabat,Yacoub El Mansour,421,9,168391,237872.0853,node/21141275,237872.0853,2,2,Modérément desservi,-6.90551889,33.97246257
21754,8839a86585fffff,10220,794142.61,Rabat,Yacoub El Mansour,421,9,168391,593041.834,node/21141275,593041.834,7632,5,Modérément desservi,-6.8794194,33.99433698
21580,8839a86c5dfffff,1274,794795.581,Skhirate- Témara,Harhoura,501,3,20950,711105.9158,node/21141275,688095.4199,1103,6,Modérément desservi,-6.95937995,33.92426989
21582,8839a86c59fffff,1116,794750.214,Skhirate- Témara,Harhoura,501,3,20950,527428.023,node/21141275,518159.0717,728,2,Modérément desservi,-6.9545249,33.92982479
21586,8839a86c51fffff,1922,794697.293,Skhirate- Témara,Harhoura,501,3,20950,465721.8625,node/21141275,164070.5412,397,0,Non desservi,-6.95285163,33.92579986
5640,8839ab9a45fffff,2853,793656.177,Rabat,El Youssoufia,421,3,157587,210837.4773,node/21141275,210837.4773,758,1,Peu desservi,-6.82492102,34.00486127
5640,8839ab9a45fffff,2853,793656.177,Rabat,Hassan,421,5,92454,142204.2739,node/21141275,142204.2739,511,1,Peu desservi,-6.82633964,34.00839805
5640,8839ab9a45fffff,2853,793656.177,Rabat,Souissi,421,6,21049,127088.0491,node/21141275,127088.0491,457,1,Peu desservi,-6.82882784,34.00310349
5640,8839ab9a45fffff,2853,793656.177,Rabat,Touarga,421,7,5703,313526.3768,node/21141275,291395.1733,1047,1,Peu desservi,-6.82980707,34.00603828
21695,8839a868d7fffff,1273,795646.809,Skhirate- Témara,Skhirate,501,5,122705,313973.7252,node/21141275,227855.4311,365,0,Non desservi,-7.05727822,33.86785937
21711,8839a8689dfffff,1412,795593.678,Skhirate- Témara,Skhirate,501,5,122705,795593.678,node/21141275,650291.3287,1154,6,Modérément desservi,-7.05416967,33.86327003
21713,8839a86899fffff,918,795548.851,Skhirate- Témara,Skhirate,501,5,122705,598587.2765,node/21141275,367484.5421,424,0,Non desservi,-7.04686568,33.86868183
21719,8839a8688bfffff,2024,795691.617,Skhirate- Témara,Skhirate,501,5,122705,774076.2164,node/21141275,88377.38307,225,0,Non desservi,-7.06036764,33.86471205
5618,8839ab9a87fffff,4956,792660.697,Salé,Hssaine,441,6,234326,775084.8299,node/21141275,26867.80176,168,0,Non desservi,-6.72748495,33.98698042
6065,8839ab9167fffff,8341,793273.857,Salé,Bettana,441,5,76233,793273.8569,node/21141275,786377.7079,8268,8,Bien desservi,-6.78403908,34.03273728
5630,8839ab9a5bfffff,1032,793320.143,Salé,Bettana,441,5,76233,793320.1425,node/21141275,312193.3182,406,0,Non desservi,-6.79302965,34.0238384
6090,8839ab912dfffff,31479,793221.292,Salé,Bettana,441,5,76233,715655.534,node/21141275,239915.7817,9521,0,Non desservi,-6.77996146,34.02769558
6090,8839ab912dfffff,31479,793221.292,Salé,Hssaine,441,6,234326,77565.76342,node/21141275,77495.6135,3075,0,Non desservi,-6.77539448,34.02431876
6092,8839ab9129fffff,4860,793174.988,Salé,Bettana,441,5,76233,267614.5306,node/21141275,252383.5745,1546,2,Modérément desservi,-6.77676426,34.03118374
6092,8839ab9129fffff,4860,793174.988,Salé,Hssaine,441,6,234326,299588.2201,node/21141275,299588.2201,1836,2,Modérément desservi,-6.77228373,34.02972779
6092,8839ab9129fffff,4860,793174.988,Salé,Layayda,441,7,229838,225972.2324,node/21141275,87411.06944,536,0,Non desservi,-6.77308118,34.03344459
6091,8839ab912bfffff,928,793076.083,Salé,Hssaine,441,6,234326,470390.9967,node/21141275,463979.3114,543,6,Modérément desservi,-6.7638853,34.02996696
6091,8839ab912bfffff,928,793076.083,Salé,Layayda,441,7,229838,322685.0864,node/21141275,36602.60094,43,0,Non desservi,-6.76723761,34.03257514
6095,8839ab9123fffff,16011,793023.484,Salé,Hssaine,441,6,234326,793023.4837,node/21141275,793023.4837,16011,13,Bien desservi,-6.75955351,34.02319052
