id,long,lat,Mode,fid,h3,Commune,CodeCom,CodeProv,Province
node/10076848829,-6.75388551,34.02500811,bus,6087,8839ab9135fffff,Hssaine,6,441,Salé
node/10076848830,-6.75378311,34.02526801,bus,6087,8839ab9135fffff,Hssaine,6,441,Salé
node/10077027083,-6.81518201,34.04091671,bus,21759,8839a864b9fffff,Bab Lamrissa,3,441,Salé
node/10077027084,-6.81539891,34.04109051,bus,21759,8839a864b9fffff,Bab Lamrissa,3,441,Salé
node/10077027085,-6.81117931,34.04311851,bus,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/10077027086,-6.81134301,34.04337851,bus,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/10077027087,-6.80182771,34.04672751,bus,21773,8839a86497fffff,Tabriquet,9,441,Salé
node/10077027088,-6.80198721,34.04693281,bus,21773,8839a86497fffff,Tabriquet,9,441,Salé
node/10077027089,-6.80077311,34.04754031,bus,21773,8839a86497fffff,Tabriquet,9,441,Salé
node/10077027090,-6.80100231,34.04777771,bus,21773,8839a86497fffff,Tabriquet,9,441,Salé
node/10077027091,-6.79444931,34.05401711,bus,21775,8839a86493fffff,Tabriquet,9,441,Salé
node/10077027092,-6.79457431,34.05420321,bus,21775,8839a86493fffff,Tabriquet,9,441,Salé
node/10077027093,-6.78832151,34.05746451,bus,6080,8839ab9145fffff,Tabriquet,9,441,Salé
node/10077027094,-6.77999771,34.05921011,bus,6082,8839ab9141fffff,Tabriquet,9,441,Salé
node/10077027095,-6.77984751,34.05941451,bus,6082,8839ab9141fffff,Tabriquet,9,441,Salé
node/10077027096,-6.77813501,34.05794011,bus,6079,8839ab9147fffff,Tabriquet,9,441,Salé
node/10077027097,-6.77798031,34.05810391,bus,6079,8839ab9147fffff,Layayda,7,441,Salé
node/10077027098,-6.77498971,34.05988821,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10077027099,-6.77516161,34.06005901,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10077027100,-6.77208171,34.06233551,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10077027101,-6.77197761,34.06214791,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10077027102,-6.76905281,34.06388511,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10077027103,-6.76913981,34.06411341,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10077027104,-6.76438401,34.06586901,bus,6069,8839ab915dfffff,Layayda,7,441,Salé
node/10077027105,-6.76455261,34.06608531,bus,6069,8839ab915dfffff,Layayda,7,441,Salé
node/10077027113,-6.75779951,34.07131771,bus,6075,8839ab9151fffff,Layayda,7,441,Salé
node/10077027114,-6.75820491,34.07126901,bus,6075,8839ab9151fffff,Layayda,7,441,Salé
node/10077481148,-6.75001881,34.06962061,bus,6075,8839ab9151fffff,Layayda,7,441,Salé
node/10077481149,-6.75439941,34.06997131,bus,6075,8839ab9151fffff,Layayda,7,441,Salé
node/10077481150,-6.75678281,34.06973671,bus,6075,8839ab9151fffff,Layayda,7,441,Salé
node/10077481151,-6.78099471,34.05308351,bus,6079,8839ab9147fffff,Tabriquet,9,441,Salé
node/10077481152,-6.78119671,34.05318141,bus,6079,8839ab9147fffff,Tabriquet,9,441,Salé
